fotmob_match_id,kickoff,club_id,player_name,fotmob_player_id,minutes
5988083,2026-08-26T16:45:00.000Z,club:1hcbcuu846pa3iw6qskiws1cu,Christian Dahle Borchgrevink,837269,75
5988083,2026-08-26T16:45:00.000Z,club:1hcbcuu846pa3iw6qskiws1cu,Rogers Mato,1328312,30
5868018,2026-08-26T19:00:00.000Z,club:3kq9cckrnlogidldtdie2fkbl,Ibrahima Konaté,820140,90
5987805,2026-08-26T19:00:00.000Z,club:c3yrcw3g5bj4rlmcxw9i8tale,David Kusso,1667974,27
5987807,2026-08-26T19:00:00.000Z,club:bsykw9d70ffqe9atosc92n1e9,Gianni Stensness,1029026,90
5987807,2026-08-26T19:00:00.000Z,club:bsykw9d70ffqe9atosc92n1e9,Tobias Moi,1636182,90
5987808,2026-08-26T19:00:00.000Z,club:cmj1019uptq8i042n5y16itbd,Danylo Ignatenko,630472,15
5987808,2026-08-26T19:00:00.000Z,club:a75rj6mt43qjbvvabry5qg162,Alpha Diounkou,962076,47
5987808,2026-08-26T19:00:00.000Z,club:cmj1019uptq8i042n5y16itbd,Roman Cerepkai,1338948,39
5987810,2026-08-26T19:00:00.000Z,club:121le8unjfzug3iu9pgkqa1c7,Abner,1060604,86
5987972,2026-08-27T16:00:00.000Z,club:8sdwl1q76c1wmj5pj0hz2w8cz,Tornike Megrelishvili,1178795,12
5987972,2026-08-27T16:00:00.000Z,club:8sdwl1q76c1wmj5pj0hz2w8cz,Sebastián Figueredo,1350255,19
5987972,2026-08-27T16:00:00.000Z,club:8sdwl1q76c1wmj5pj0hz2w8cz,Lucas Café,1502401,19
5987972,2026-08-27T16:00:00.000Z,club:8jw3s68b9lil5xcgjvbcmrgc2,Ousmane Sow,1673762,45
5988098,2026-08-27T16:00:00.000Z,club:btqfm8txcvhi29sddmc9nr68,Behruzjon Karimov,1898281,8
5988096,2026-08-27T16:15:00.000Z,club:dz0fc3304a30bzm9lht0bhpqt,Kady Malinowski,766160,86
5988096,2026-08-27T16:15:00.000Z,club:4tic29sox7m39fy1ztgv0jsiq,Filip Thorvaldsen,1460786,11
5988096,2026-08-27T16:15:00.000Z,club:dz0fc3304a30bzm9lht0bhpqt,Hikmat Cabrayilzada,1791723,6
5988080,2026-08-27T16:45:00.000Z,club:759fhii7hsnldanli06j5jmf6,Dylan Williams,1211647,14
5988080,2026-08-27T16:45:00.000Z,club:759fhii7hsnldanli06j5jmf6,Seb Palmer Houlden,1445152,65
5988081,2026-08-27T16:45:00.000Z,club:awc8tinkh5u7cy58a00ohg6al,Pawel Bochniewicz,492494,45
5988081,2026-08-27T16:45:00.000Z,club:awc8tinkh5u7cy58a00ohg6al,Patryk Warczak,1394940,32
5988081,2026-08-27T16:45:00.000Z,club:4t4hod56fsj7utpjdor8so5q6,Mathys Detourbet,1709473,35
5988081,2026-08-27T16:45:00.000Z,club:4t4hod56fsj7utpjdor8so5q6,Safouane Benzahra,1845327,24
5988081,2026-08-27T16:45:00.000Z,club:4t4hod56fsj7utpjdor8so5q6,Anis Soubeir,2130847,25
5987969,2026-08-27T17:00:00.000Z,club:2989v3kho9h5jaboe1nr7lx21,Shogo Taniguchi,523731,90
5987969,2026-08-27T17:00:00.000Z,club:2989v3kho9h5jaboe1nr7lx21,Wolke Janssens,561251,6
5987969,2026-08-27T17:00:00.000Z,club:2989v3kho9h5jaboe1nr7lx21,Abdoulaye Sissako,764779,90
5987969,2026-08-27T17:00:00.000Z,club:2989v3kho9h5jaboe1nr7lx21,Joedrick Pupe,816397,84
5987969,2026-08-27T17:00:00.000Z,club:1pf6zmsueuc9tr64ql67gynqc,Nikolas Panayiotou,988798,90
5987969,2026-08-27T17:00:00.000Z,club:2989v3kho9h5jaboe1nr7lx21,Taiga Hata,1134461,9
5987969,2026-08-27T17:00:00.000Z,club:2989v3kho9h5jaboe1nr7lx21,Ryotaro Araki,1134524,19
5987969,2026-08-27T17:00:00.000Z,club:2989v3kho9h5jaboe1nr7lx21,Leo Kokubo,1155621,90
5987969,2026-08-27T17:00:00.000Z,club:2989v3kho9h5jaboe1nr7lx21,Ilias Sebaoui,1307959,90
5987969,2026-08-27T17:00:00.000Z,club:2989v3kho9h5jaboe1nr7lx21,Nelson Ishiwatari,1381856,90
5987969,2026-08-27T17:00:00.000Z,club:2989v3kho9h5jaboe1nr7lx21,Oumar Diouf,1478005,9
5987969,2026-08-27T17:00:00.000Z,club:2989v3kho9h5jaboe1nr7lx21,Kaito Matsuzawa,1515636,19
5987969,2026-08-27T17:00:00.000Z,club:2989v3kho9h5jaboe1nr7lx21,Robert-Jan Vanwesemael,1596061,81
5987969,2026-08-27T17:00:00.000Z,club:2989v3kho9h5jaboe1nr7lx21,Ryan Merlen,1609381,71
5987970,2026-08-27T17:00:00.000Z,club:c6fx1460nlkawjgh67sp7a1hd,Dávid Krcík,1280245,30
5987970,2026-08-27T17:00:00.000Z,club:c6fx1460nlkawjgh67sp7a1hd,Baboucarr Faal,1722302,34
5987973,2026-08-27T17:00:00.000Z,club:spvvjmk37iid7hsky9g3nce7,Axel Norén,895755,90
5987973,2026-08-27T17:00:00.000Z,club:bonj6qc7po4anunhydmjmi6g5,Aboubacar Camara,1583511,8
5987973,2026-08-27T17:00:00.000Z,club:spvvjmk37iid7hsky9g3nce7,Villum Dalsgaard,1838025,16
5987976,2026-08-27T17:00:00.000Z,club:2ez9cvam9lp9jyhng3eh3znb4,Ahmet Bircan,1896214,4
5988082,2026-08-27T17:00:00.000Z,club:b3r6d8ydtmtjckam6pku9y400,Thapelo Maseko,1394951,1
5988082,2026-08-27T17:00:00.000Z,club:b3r6d8ydtmtjckam6pku9y400,Robert,1494913,89
5988085,2026-08-27T17:00:00.000Z,club:6ouaoxrghzeqpzqk02xn3t4r9,Dalisson de Almeida,1120854,71
5988085,2026-08-27T17:00:00.000Z,club:1sxaf8l7fknmucd72fdretogm,Ádin Molnár,1405568,36
5988085,2026-08-27T17:00:00.000Z,club:6ouaoxrghzeqpzqk02xn3t4r9,Adam Guram,1950758,41
5988086,2026-08-27T17:00:00.000Z,club:1v75g4bk8vzrvu0jmaro6lila,Elione Fernandes Neto,1403896,1
5988093,2026-08-27T17:00:00.000Z,club:d6e2elufz1jf4h68k21uahq7d,Pêpê,672721,120
5987975,2026-08-27T18:00:00.000Z,club:6u0uaryouca843tojxzgwulr2,Tom Strannegård,1104342,45
5987975,2026-08-27T18:00:00.000Z,club:6u0uaryouca843tojxzgwulr2,Tim Spycher,1284341,90
5987975,2026-08-27T18:00:00.000Z,club:6u0uaryouca843tojxzgwulr2,Lucien Dähler,1436393,90
5987975,2026-08-27T18:00:00.000Z,club:6u0uaryouca843tojxzgwulr2,Dorian Derbaci,1646389,90
5987975,2026-08-27T18:00:00.000Z,club:6u0uaryouca843tojxzgwulr2,Louis Passavant,1696434,90
5987977,2026-08-27T18:00:00.000Z,club:9ldqu49smv1xg2va0n2cy28zl,Gonçalo Moreira,1597917,25
5987977,2026-08-27T18:00:00.000Z,club:5rz9enoyknpg8ji78za5b82p0,Luka Callø,1637630,69
